zip;county;state;geopoint;timezone
00933;SAN JUAN;PR;18.410462,-66.060533;America/Puerto_Rico
00934;GUAYNABO MUNICIPIO;PR;18.413511,-66.12198;America/Puerto_Rico
00935;SAN JUAN;PR;18.410462,-66.060533;America/Puerto_Rico
00936;SAN JUAN MUNICIPIO;PR;18.410462,-66.060533;America/Puerto_Rico
00937;SAN JUAN;PR;18.410462,-66.060533;America/Puerto_Rico
00939;SAN JUAN;PR;18.410462,-66.060533;America/Puerto_Rico
00940;;PR;18.410462,-66.060533;America/Puerto_Rico
00949;TOA BAJA MUNICIPIO;PR;18.433173,-66.2042;America/Puerto_Rico
00950;DORADO MUNICIPIO;PR;18.457761,-66.196503;America/Puerto_Rico
00951;TOA BAJA MUNICIPIO;PR;18.457761,-66.196503;America/Puerto_Rico
00952;TOA BAJA MUNICIPIO;PR;18.429218,-66.18014;America/Puerto_Rico
00953;TOA ALTA MUNICIPIO;PR;18.36802,-66.23414;America/Puerto_Rico
00954;TOA ALTA;PR;18.358939,-66.258108;America/Puerto_Rico
00955;SAN JUAN;PR;18.410462,-66.060533;America/Puerto_Rico
00956;BAYAMON MUNICIPIO;PR;18.34216,-66.16643;America/Puerto_Rico
00957;BAYAMON MUNICIPIO;PR;18.369674,-66.18669;America/Puerto_Rico
00958;BAYAMON;PR;18.34487,-66.166014;America/Puerto_Rico
00959;BAYAMON MUNICIPIO;PR;18.387063,-66.15943;America/Puerto_Rico
00960;BAYAMON MUNICIPIO;PR;18.34487,-66.166014;America/Puerto_Rico
00961;BAYAMON MUNICIPIO;PR;18.412462,-66.16033;America/Puerto_Rico
00962;CATANO MUNICIPIO;PR;18.437683,-66.13847;America/Puerto_Rico
00963;CATANO;PR;18.443217,-66.139293;America/Puerto_Rico
00965;GUAYNABO MUNICIPIO;PR;18.431453,-66.11703;America/Puerto_Rico
00966;GUAYNABO MUNICIPIO;PR;18.398507,-66.11522;America/Puerto_Rico
00968;GUAYNABO MUNICIPIO;PR;18.408479,-66.1025;America/Puerto_Rico
00969;GUAYNABO MUNICIPIO;PR;18.366981,-66.10889;America/Puerto_Rico
00970;;PR;18.359143,-66.112295;America/Puerto_Rico
00971;GUAYNABO MUNICIPIO;PR;18.329688,-66.11876;America/Puerto_Rico
00975;SAN JUAN;PR;18.410462,-66.060533;America/Puerto_Rico
00976;TRUJILLO ALTO MUNICIPIO;PR;18.346767,-66.00561;America/Puerto_Rico
00977;;PR;18.337004,-65.990099;America/Puerto_Rico
00978;SAN JUAN;PR;18.337004,-65.990099;America/Puerto_Rico
00979;CAROLINA MUNICIPIO;PR;18.431885,-66.0127;America/Puerto_Rico
00981;CAROLINA;PR;18.410462,-66.060533;America/Puerto_Rico
00982;CAROLINA MUNICIPIO;PR;18.409345,-65.99313;America/Puerto_Rico
00983;CAROLINA MUNICIPIO;PR;18.414408,-65.97582;America/Puerto_Rico
00984;CAROLINA;PR;18.393355,-65.972495;America/Puerto_Rico
00985;CAROLINA MUNICIPIO;PR;18.374896,-65.94691;America/Puerto_Rico
00986;CAROLINA;PR;18.393355,-65.972495;America/Puerto_Rico
00987;CAROLINA MUNICIPIO;PR;18.372228,-65.96275;America/Puerto_Rico
00988;CAROLINA;PR;18.393355,-65.972495;America/Puerto_Rico
01001;HAMPDEN COUNTY;MA;42.07061,-72.62029;America/New_York
01002;HAMPSHIRE COUNTY;MA;42.377651,-72.50323;America/New_York
01003;HAMPSHIRE COUNTY;MA;42.369562,-72.63599;America/New_York
01004;HAMPSHIRE COUNTY;MA;42.384494,-72.513183;America/New_York
01005;WORCESTER COUNTY;MA;42.412094,-72.10443;America/New_York
01007;HAMPSHIRE COUNTY;MA;42.278424,-72.411;America/New_York
01008;HAMPDEN COUNTY;MA;42.174313,-72.94828;America/New_York
01009;HAMPDEN COUNTY;MA;42.206092,-72.340486;America/New_York
01010;HAMPDEN COUNTY;MA;42.126038,-72.20552;America/New_York
01011;HAMPDEN COUNTY;MA;42.271442,-73.01958;America/New_York
01012;HAMPSHIRE COUNTY;MA;42.390836,-72.84356;America/New_York
01013;HAMPDEN COUNTY;MA;42.161492,-72.60316;America/New_York
01014;HAMPDEN COUNTY;MA;42.170731,-72.604842;America/New_York
01020;HAMPDEN COUNTY;MA;42.175992,-72.57265;America/New_York
01021;HAMPDEN COUNTY;MA;42.170731,-72.604842;America/New_York
01022;HAMPDEN COUNTY;MA;42.196666,-72.55606;America/New_York
01026;HAMPSHIRE COUNTY;MA;42.465041,-72.91813;America/New_York
01027;HAMPSHIRE COUNTY;MA;42.27279,-72.68677;America/New_York
01028;HAMPDEN COUNTY;MA;42.066795,-72.5102;America/New_York
01029;BERKSHIRE COUNTY;MA;42.175896,-73.04204;America/New_York
01030;HAMPDEN COUNTY;MA;42.070774,-72.67248;America/New_York
01031;WORCESTER COUNTY;MA;42.33071,-72.18833;America/New_York
01032;HAMPSHIRE COUNTY;MA;42.45792,-72.81551;America/New_York
01033;HAMPSHIRE COUNTY;MA;42.254563,-72.51831;America/New_York
01034;HAMPDEN COUNTY;MA;42.086224,-72.94464;America/New_York
01035;HAMPSHIRE COUNTY;MA;42.35549,-72.5733;America/New_York
01036;HAMPDEN COUNTY;MA;42.064703,-72.41735;America/New_York
01037;WORCESTER COUNTY;MA;42.374202,-72.19524;America/New_York
01038;HAMPSHIRE COUNTY;MA;42.375155,-72.60832;America/New_York
01039;HAMPSHIRE COUNTY;MA;42.381475,-72.69259;America/New_York
01040;HAMPDEN COUNTY;MA;42.201891,-72.6242;America/New_York
